"ccode","year","genocide","Mgenocide"
110,2000,0,1
110,2001,0,1
110,2002,0,1
110,2003,0,1
110,2004,0,1
110,2005,0,1
110,2006,0,1
110,2007,0,1
110,2008,0,1
110,2009,0,1
110,2010,0,1
115,1975,0,1
115,1976,0,1
115,1977,0,1
115,1978,0,1
115,1979,0,1
115,1980,0,1
115,1981,0,1
115,1982,0,1
115,1983,0,1
115,1984,0,1
115,1985,0,1
115,1986,0,1
115,1987,0,1
115,1988,0,1
115,1989,0,1
115,1990,0,1
115,1991,0,1
115,1992,0,1
115,1993,0,1
115,1994,0,1
115,1995,0,1
115,1996,0,1
115,1997,0,1
115,1998,0,1
115,1999,0,1
115,2000,0,1
115,2001,0,1
115,2002,0,1
115,2003,0,1
115,2004,0,1
115,2005,0,1
115,2006,0,1
115,2007,0,1
115,2008,0,1
115,2009,0,1
115,2010,0,1
130,1956,0,1
130,1957,0,1
130,1958,0,1
130,1959,0,1
130,1960,0,1
130,1961,0,1
130,1962,0,1
130,1963,0,1
130,1964,0,1
130,1965,0,1
130,1966,0,1
130,1967,0,1
130,1968,0,1
130,1969,0,1
130,1970,0,1
130,1971,0,1
130,1972,0,1
130,1973,0,1
130,1974,0,1
130,1975,0,1
130,1976,0,1
130,1977,0,1
130,1978,0,1
130,1979,0,1
130,1980,0,1
130,1981,0,1
130,1982,0,1
130,1983,0,1
130,1984,0,1
130,1985,0,1
130,1986,0,1
130,1987,0,1
130,1988,0,1
130,1989,0,1
130,1990,0,1
130,1991,0,1
130,1992,0,1
130,1993,0,1
130,1994,0,1
130,1995,0,1
130,1996,0,1
130,1997,0,1
130,1998,0,1
130,1999,0,1
130,2000,0,1
130,2001,0,1
130,2002,0,1
130,2003,0,1
130,2004,0,1
130,2005,0,1
130,2006,0,1
130,2007,0,1
130,2008,0,1
130,2009,0,1
130,2010,0,1
135,1956,0,1
135,1957,0,1
135,1958,0,1
135,1959,0,1
135,1960,0,1
135,1961,0,1
135,1962,0,1
135,1963,0,1
135,1964,0,1
135,1965,0,1
135,1966,0,1
135,1967,0,1
135,1968,0,1
135,1969,0,1
135,1970,0,1
135,1971,0,1
135,1972,0,1
135,1973,0,1
135,1974,0,1
135,1975,0,1
135,1976,0,1
135,1977,0,1
135,1978,0,1
135,1979,0,1
135,1980,0,1
135,1981,0,1
135,1982,0,1
135,1983,0,1
135,1984,0,1
135,1985,0,1
135,1986,0,1
135,1987,0,1
135,1988,0,1
135,1989,0,1
135,1990,0,1
135,1991,0,1
135,1992,0,1
135,1993,0,1
135,1994,0,1
135,1995,0,1
135,1996,0,1
135,1997,0,1
135,1998,0,1
135,1999,0,1
